Item#,U 08/2020,U 07/2020,U 06/2020,U 05/2020,U 04/2020,U 03/2020,U 02/2020,U 01/2020,U 12/2019,U 11/2019,U 10/2019,U 09/2019
MEM-DR380L-AL01-PE010,0,0,0,0,0,0,0,0,0,0,280,600
MEM-DR380L-AL02-ER16,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR380L-AT01-PS027,0,90,80,400,"1,256",48,0,0,0,0,0,0
MEM-DR380L-CL04-ER16,0,0,0,0,0,0,35,0,0,0,0,0
MEM-DR380L-HL01-ES16,0,0,0,0,7,0,4,0,0,0,0,0
MEM-DR380L-HL02-ER16,0,0,0,0,0,0,8,7,0,0,0,0
MEM-DR380L-HL02-SO16,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR380L-HL03-ER13,0,0,0,0,0,0,0,1,0,0,0,0
MEM-DR380L-HL03-ES16,0,0,0,0,0,0,0,0,8,0,0,0
MEM-DR380L-HL03-SO16,0,0,0,0,0,0,1,0,0,0,0,0
MEM-DR380L-HL04-ER18,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR380L-HL04-EU16,0,0,1,0,3,2,0,246,522,252,0,470
MEM-DR380L-HL05-ER18,0,0,0,0,1,0,0,0,0,0,0,0
MEM-DR380L-HL05-VI017,0,0,0,0,0,0,0,2,"1,493",0,0,44
MEM-DR380L-HL10-ER16,0,3,0,0,1,0,3,0,0,0,0,6
MEM-DR380L-HV02-EU16,0,0,0,0,0,0,0,12,0,0,0,0
MEM-DR380L-HV03-EU16,0,0,0,0,0,0,10,2,0,1,3,0
MEM-DR380L-IL02-ER18,0,0,0,0,0,0,250,200,350,400,480,470
MEM-DR380L-IL03-ER18,0,0,0,0,4,16,9,0,0,0,0,0
MEM-DR380L-IL03-ES16,0,0,4,152,54,0,9,0,0,0,0,0
MEM-DR380L-IL03-SO18,0,0,2,0,0,0,0,0,0,0,0,0
MEM-DR380L-SL02-ES16,0,0,0,0,0,0,5,0,0,0,0,4
MEM-DR380L-SL02-EU16,0,0,4,0,0,0,2,0,0,0,0,0
MEM-DR380L-SL03-EU16,0,0,0,0,0,2,3,0,0,0,0,361
MEM-DR380L-SL06-ER18,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR380L-SL08-ER16,0,0,0,0,0,0,0,16,0,0,0,10
MEM-DR380L-SL10-ER16,0,3,14,0,16,9,2,0,2,10,0,0
MEM-DR380L-SL12-ER16,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR380L-SL14-ER16,0,0,22,0,0,100,0,0,0,0,0,1
MEM-DR380L-TL02-SO16,0,0,0,0,0,0,0,0,0,0,0,2
MEM-DR380L-TL03-SO16,0,3,12,0,2,3,0,0,10,45,20,17
